step,energy_unit,energy_raw,energy_kJmol,delta_kJmol,converged
30,hartree,-399.09311346536,-1047818.8249315955,0.5835438332287595,True
31,hartree,-399.093123303579,-1047818.8507618359,0.5577135927742347,True
32,hartree,-399.093134862419,-1047818.8811095662,0.5273658625083044,True
33,hartree,-399.093137344065,-1047818.8876251269,0.5208503018366173,True
34,hartree,-399.093142026399,-1047818.899918593,0.5085568357026204,True
35,hartree,-399.093129322836,-1047818.8665653929,0.5419100357685238,True
36,hartree,-399.090793999,-1047812.735173507,6.6733019216917455,True
37,hartree,-399.092654702413,-1047817.6204496442,1.7880257845390588,True
38,hartree,-399.092816387825,-1047818.0449546349,1.3635207938496023,True
39,hartree,-399.092887977612,-1047818.2329135948,1.1755618338938802,True
40,hartree,-399.092916643293,-1047818.3081753298,1.100300098885782,True
41,hartree,-399.092925963501,-1047818.3326455326,1.075829896144569,True
42,hartree,-399.092936730611,-1047818.3609145759,1.0475608528358862,True
43,hartree,-399.09294134981,-1047818.3730422814,1.035433147335425,True
44,hartree,-399.092948046477,-1047818.390624378,1.0178510507103056,True
45,hartree,-399.092951262091,-1047818.3990669715,1.0094084572046995,True
46,hartree,-399.092961442627,-1047818.425795965,0.9826794636901468,True
47,hartree,-399.09297146596,-1047818.4521122222,0.9563632064964622,True
48,hartree,-399.092977743668,-1047818.4685943422,0.9398810864659026,True
49,hartree,-399.092986369142,-1047818.4912405212,0.9172349075088277,True
50,hartree,-399.092997514822,-1047818.5205035,0.8879719286924228,True
51,hartree,-399.093007214606,-1047818.5459702794,0.8625051493290812,True
52,hartree,-399.093010422652,-1047818.554393003,0.8540824257070199,True
53,hartree,-399.093022973908,-1047818.587346321,0.8211291077313945,True
54,hartree,-399.093033946522,-1047818.6161549151,0.7923205136321485,True
55,hartree,-399.093044291435,-1047818.6433154804,0.7651599482633173,True
56,hartree,-399.09305329973,-1047818.6669667558,0.7415086729452014,True
57,hartree,-399.093060318005,-1047818.6853932341,0.723082194570452,True
58,hartree,-399.093061703416,-1047818.6890306304,0.7194447983056307,True
59,hartree,-399.09305859407,-1047818.6808670434,0.7276083852630109,True
60,hartree,-399.093067189756,-1047818.703435014,0.7050404147012159,True
61,hartree,-399.093073822446,-1047818.7208491392,0.687626289553009,True
62,hartree,-399.093075127256,-1047818.7242749173,0.6842005114303902,True
63,hartree,-399.09307537297,-1047818.7249200394,0.6835553892888129,True
64,hartree,-399.093073023639,-1047818.7187518717,0.6897235569776967,True
65,hartree,-399.091398770395,-1047814.3230005857,5.085474843042903,True
66,hartree,-399.092446943071,-1047817.0749775671,2.3334978616330773,True
67,hartree,-399.09257735914,-1047817.417384909,1.9910905197029933,True
68,hartree,-399.092743724524,-1047817.8541771644,1.5542982643237337,True
69,hartree,-399.092760838722,-1047817.899110485,1.5093649437185377,True
70,hartree,-399.092766058137,-1047817.9128140573,1.4956613713875413,True
71,hartree,-399.092768259307,-1047817.9185932283,1.489882200374268,True
72,hartree,-399.091074018957,-1047813.4703658026,5.938109626062214,True
73,hartree,-399.09208943809,-1047816.1363483688,3.2721270598703995,True
74,hartree,-399.092205352927,-1047816.4406827315,2.967792697250843,True
75,hartree,-399.092336620322,-1047816.7853252294,2.623150199302472,True
76,hartree,-399.092354759277,-1047816.8329490492,2.5755263795144856,True
77,hartree,-399.092359715683,-1047816.8459620915,2.5625133372377604,True
78,hartree,-399.092356834653,-1047816.8383979482,2.570077480515465,True
79,hartree,-399.092360508424,-1047816.8480434327,2.560431996011175,True
80,hartree,-399.092362459418,-1047816.8531657666,2.55530966212973,True
81,hartree,-399.092364664418,-1047816.8589549934,2.5495204352773726,True
82,hartree,-399.092366427762,-1047816.8635846523,2.5448907763930038,True
83,hartree,-399.092366883469,-1047816.864781111,2.543694317690097,True
84,hartree,-399.092372764067,-1047816.8802206189,2.5282548097893596,True
85,hartree,-399.092380121248,-1047816.899536895,2.508938533719629,True
86,hartree,-399.092384260925,-1047816.9104056153,2.4980698133585975,True
87,hartree,-399.092384800793,-1047816.9118230387,2.49665238999296,True
88,hartree,-399.092388672125,-1047816.9219872195,2.4864882092224434,True
89,hartree,-399.092388238732,-1047816.9208493462,2.4876260824967176,True
90,hartree,-399.092389185938,-1047816.9233362352,2.4851391934789717,True
91,hartree,-399.092387184894,-1047816.918082495,2.490392933716066,True
