step,energy_unit,energy_raw,energy_kJmol,delta_kJmol,delta_kJmol_smooth5,delta_kJmol_smooth7,converged
30,hartree,-399.09311346536,-1047818.8249315955,0.5835438332287595,0.6368192557245493,0.7139394321212811,True
31,hartree,-399.093123303579,-1047818.8507618359,0.5577135927742347,0.5699685245286673,0.601929059451712,True
32,hartree,-399.093134862419,-1047818.8811095662,0.5273658625083044,0.5396060852101072,0.5571870705877829,True
33,hartree,-399.093137344065,-1047818.8876251269,0.5208503018366173,0.5312793257180601,1.4161774833586864,True
34,hartree,-399.093142026399,-1047818.899918593,0.5085568357026204,1.7543969915015623,1.588246333545872,True
35,hartree,-399.093129322836,-1047818.8665653929,0.5419100357685238,2.006528975907713,1.7033616479852103,True
36,hartree,-399.090793999,-1047812.735173507,6.6733019216917455,2.17506307431031,1.7959610724688642,True
37,hartree,-399.092654702413,-1047817.6204496442,1.7880257845390588,2.3084640739485622,1.878739614904459,True
38,hartree,-399.092816387825,-1047818.0449546349,1.3635207938496023,2.420142086572014,1.959778623539023,True
39,hartree,-399.092887977612,-1047818.2329135948,1.1755618338938802,1.3006476814625785,2.0320144545486465,True
40,hartree,-399.092916643293,-1047818.3081753298,1.100300098885782,1.1525546951219439,1.2266046296406006,True
41,hartree,-399.092925963501,-1047818.3326455326,1.075829896144569,1.0869371658191085,1.1165796676650643,True
42,hartree,-399.092936730611,-1047818.3609145759,1.0475608528358862,1.0553950091823936,1.0659921910015069,True
43,hartree,-399.09294134981,-1047818.3730422814,1.035433147335425,1.0372166808461771,1.0384375666866876,True
44,hartree,-399.092948046477,-1047818.390624378,1.0178510507103056,1.0185865943552925,1.0178751534882136,True
45,hartree,-399.092951262091,-1047818.3990669715,1.0094084572046995,1.0003470650874078,0.9984538949626897,True
46,hartree,-399.092961442627,-1047818.425795965,0.9826794636901468,0.9812366529135034,0.97983590277311,True
47,hartree,-399.09297146596,-1047818.4521122222,0.9563632064964622,0.9611134242732078,0.9587700143955382,True
48,hartree,-399.092977743668,-1047818.4685943422,0.9398810864659026,0.9368261185707525,0.936577742769649,True
49,hartree,-399.092986369142,-1047818.4912405212,0.9172349075088277,0.9127912556985394,0.9143883096985519,True
50,hartree,-399.092997514822,-1047818.5205035,0.8879719286924228,0.8923350995406508,0.8913096874187302,True
51,hartree,-399.093007214606,-1047818.5459702794,0.8625051493290812,0.8685847037937492,0.8678750170095425,True
52,hartree,-399.093010422652,-1047818.554393003,0.8540824257070199,0.8436018250184134,0.8429148544091731,True
53,hartree,-399.093022973908,-1047818.587346321,0.8211291077313945,0.8190394289325923,0.8178111066143694,True
54,hartree,-399.093033946522,-1047818.6161549151,0.7923205136321485,0.7948401336558163,0.7942554303112307,True
55,hartree,-399.093044291435,-1047818.6433154804,0.7651599482633173,0.7686400874285028,0.7738182373078806,True
56,hartree,-399.09305329973,-1047818.6669667558,0.7415086729452014,0.7483032255433499,0.7557505172444507,True
57,hartree,-399.093060318005,-1047818.6853932341,0.723082194570452,0.7353607998695224,0.7391664182401395,True
58,hartree,-399.093061703416,-1047818.6890306304,0.7194447983056307,0.7233368931571021,0.7242101005145481,True
59,hartree,-399.09305859407,-1047818.6808670434,0.7276083852630109,0.7125604164786636,0.7126444666812729,True
60,hartree,-399.093067189756,-1047818.703435014,0.7050404147012159,0.7047840798506513,0.7043654261589316,True
61,hartree,-399.093073822446,-1047818.7208491392,0.687626289553009,0.6976061980472877,0.6995999065028238,True
62,hartree,-399.093075127256,-1047818.7242749173,0.6842005114303902,0.690029232390225,1.323318484322434,True
63,hartree,-399.09307537297,-1047818.7249200394,0.6835553892888129,1.5661161180585623,1.552731266661015,True
64,hartree,-399.093073023639,-1047818.7187518717,0.6897235569776967,1.8952904324745758,1.7364527102326974,True
65,hartree,-399.091398770395,-1047814.3230005857,5.085474843042903,2.1566684341290965,1.860262992342801,True
66,hartree,-399.092446943071,-1047817.0749775671,2.3334978616330773,2.330817009136081,1.978143625526822,True
67,hartree,-399.09257735914,-1047817.417384909,1.9910905197029933,2.4947452864842488,2.0941587658266405,True
68,hartree,-399.092743724524,-1047817.8541771644,1.5542982643237337,1.7767825921531766,2.208467143454722,True
69,hartree,-399.092760838722,-1047817.899110485,1.5093649437185377,1.6080594599014149,2.330272112457481,True
70,hartree,-399.092766058137,-1047817.9128140573,1.4956613713875413,2.397463281173259,2.4643619979199554,True
71,hartree,-399.092768259307,-1047817.9185932283,1.489882200374268,2.741029040282592,2.6038908804267913,True
72,hartree,-399.091074018957,-1047813.4703658026,5.938109626062214,3.032714590989053,2.7565840139951825,True
73,hartree,-399.09208943809,-1047816.1363483688,3.2721270598703995,3.2582123565720393,2.9088927905374606,True
74,hartree,-399.092205352927,-1047816.4406827315,2.967792697250843,3.4753411924000828,3.061300214230349,True
75,hartree,-399.092336620322,-1047816.7853252294,2.623150199302472,2.800221934635192,3.2156138256790916,True
76,hartree,-399.092354759277,-1047816.8329490492,2.5755263795144856,2.6598120187642054,2.7330884499575143,True
77,hartree,-399.092359715683,-1047816.8459620915,2.5625133372377604,2.578339878516272,2.6306859645659904,True
78,hartree,-399.092356834653,-1047816.8383979482,2.570077480515465,2.5647717710817233,2.5709327842840657,True
79,hartree,-399.092360508424,-1047816.8480434327,2.560431996011175,2.5595705822343007,2.5597528667255705,True
80,hartree,-399.092362459418,-1047816.8531657666,2.55530966212973,2.5560460700653493,2.5552054293220863,True
81,hartree,-399.092364664418,-1047816.8589549934,2.5495204352773726,2.550769437500276,2.550311353972315,True
82,hartree,-399.092366427762,-1047816.8635846523,2.5448907763930038,2.5443340002559127,2.5415772187157666,True
83,hartree,-399.092366883469,-1047816.864781111,2.543694317690097,2.5350597745738925,2.532668335479684,True
84,hartree,-399.092372764067,-1047816.8802206189,2.5282548097893596,2.5247696501901373,2.5242887251744315,True
85,hartree,-399.092380121248,-1047816.899536895,2.508938533719629,2.5151219729101286,2.5152841214522987,True
86,hartree,-399.092384260925,-1047816.9104056153,2.4980698133585975,2.503680751216598,2.5071034508956864,True
87,hartree,-399.092384800793,-1047816.9118230387,2.49665238999296,2.4955550057580695,2.4987384331512397,True
88,hartree,-399.092388672125,-1047816.9219872195,2.4864882092224434,2.490795137709938,2.4933295937121978,True
89,hartree,-399.092388238732,-1047816.9208493462,2.4876260824967176,2.489259761781432,2.489579876884818,True
90,hartree,-399.092389185938,-1047816.9233362352,2.4851391934789717,2.486467386968434,2.4869928835625097,True
91,hartree,-399.092387184894,-1047816.918082495,2.490392933716066,2.4851619171444326,2.4865681489962816,True
92,hartree,-399.09239011859,-1047816.9257849128,2.4826905159279704,2.4863725502509624,2.486308996432594,True
93,hartree,-399.092391158261,-1047816.9285145686,2.4799608601024374,2.4862795398104938,2.4873837597135986,True
94,hartree,-399.092385933203,-1047816.9147961807,2.493679248029366,2.4872308381600305,2.485328546359337,True
95,hartree,-399.092389363067,-1047816.9238012874,2.484674141276628,2.4848432749742644,2.478413468675821,True
96,hartree,-399.092385373242,-1047816.9133260032,2.495149425463751,2.477248580940068,2.477311830036342,True
97,hartree,-399.092394665464,-1047816.9377227287,2.4707526999991387,2.4735085404245183,2.4737071296798865,True
98,hartree,-399.092405621592,-1047816.9664880388,2.4419873899314553,2.467519303690642,2.466254055965692,True
99,hartree,-399.092393055734,-1047816.9334963833,2.4749790454516187,2.4567909650038926,2.4596306742834195,True
100,hartree,-399.092400768966,-1047816.9537474711,2.454727957607247,2.450302518904209,2.451299942930096,True
101,hartree,-399.092405804284,-1047816.9669676967,2.4415077320300043,2.4492719021160156,2.4474214044499343,True
102,hartree,-399.092407022057,-1047816.9701649592,2.4383104695007205,2.4429966791532935,3.143631194102844,True
103,hartree,-399.092407584298,-1047816.9716411227,2.4368343059904873,3.4151422711322086,3.431745407836778,True
104,hartree,-399.092405006265,-1047816.9648724981,2.443602930638008,3.825196433044039,3.680251410164471,True
105,hartree,-399.09054941546,-1047812.0930195112,7.315455917501822,4.176388333924114,3.884390085054162,True
106,hartree,-399.091624897374,-1047814.9166968871,4.491778541589156,4.463117163977586,4.082314415335921,True
107,hartree,-399.091738212403,-1047815.2142054548,4.1942699739011005,4.739152734144591,4.280426019120829,True
108,hartree,-399.091861538079,-1047815.5379969724,3.8704784562578425,4.040784657141193,4.476815525458993,True
109,hartree,-399.091879324284,-1047815.5846946472,3.823780781473033,3.906094843824394,4.714040000390794,True
110,hartree,-399.091879387224,-1047815.5848598962,3.823615532484837,4.862446297449059,4.944760484088745,True
111,hartree,-399.091881400577,-1047815.5901459537,3.8183294750051573,5.309714991692454,5.1789506856086,True
112,hartree,-399.089916937245,-1047810.4324481867,8.97602724202443,5.711679112305864,5.418426805907594,True
113,hartree,-399.091009759835,-1047813.3016535012,6.106821927474812,6.056318265479058,5.657820017060398,True
114,hartree,-399.091113824044,-1047813.5748740442,5.8336013845400885,6.392559022386559,5.8970615047063415,True
115,hartree,-399.091223056619,-1047813.8616641304,5.5468112983508036,5.697014763182961,6.1362167360660225,True
116,hartree,-399.091241063873,-1047813.9089421692,5.499533259542659,5.574133596592583,6.400970515379283,True
117,hartree,-399.091241531332,-1047813.9101694827,5.49830594600644,6.573274059128016,6.662587055171441,True
118,hartree,-399.091243774658,-1047813.9160593342,5.492416094522923,7.051539340661838,6.927631331757376,True
119,hartree,-399.089211061522,-1047808.5791717315,10.829303697217256,7.489414952881634,7.198105505418165,True
120,hartree,-399.090312248492,-1047811.4703377227,7.938137706019916,7.877779866475612,7.468725234536188,True
121,hartree,-399.090407173809,-1047811.7195641081,7.688911320641637,8.25807092024479,7.736946223170629,True
122,hartree,-399.090501929414,-1047811.9683449147,7.440130513976328,7.567380754090846,8.004780791882824,True
123,hartree,-399.090519548594,-1047812.0146040653,7.393871363368817,7.45320482798852,8.273251650056668,True
124,hartree,-399.090526411477,-1047812.0326225623,7.375852866447531,8.457142504747026,8.53703996826828,True
125,hartree,-399.09052968506,-1047812.0412173532,7.367258075508289,8.926047588652,8.804612756690144,True
126,hartree,-399.088495275475,-1047806.6998757243,12.708599704434164,9.359657483897172,9.082633228457,True
127,hartree,-399.089608946842,-1047809.6238194952,9.784655933501199,9.761741673876532,9.361446425185672,True
128,hartree,-399.089693782159,-1047809.8465545891,9.561920839594677,10.157402806868777,9.64231610565912,True
129,hartree,-399.089760682577,-1047810.0222016124,9.386273816344328,9.484070991934278,9.921151048287616,True
130,hartree,-399.089776188226,-1047810.0629116882,9.345563740469515,9.39096034001559,10.157282007126403,True
131,hartree,-399.089777568196,-1047810.0665347989,9.341940629761666,10.35087945535779,10.38904628185888,True
132,hartree,-399.089786266714,-1047810.0893727548,9.319102673907764,10.75502586341463,10.62925673825001,True
133,hartree,-399.087865712748,-1047805.0469590124,14.361516416305676,11.134591922187246,10.882236849250537,True
134,hartree,-399.08899102639,-1047808.0014695721,11.40700585662853,11.497630714904517,11.135698130686901,True
135,hartree,-399.089053342842,-1047808.1650813944,11.243394034332596,11.857768722227775,11.388859095101777,True
136,hartree,-399.089086197328,-1047808.2513408354,11.157134593348019,11.2082789150998,11.642588980529192,True
137,hartree,-399.0891004201,-1047808.2886827182,11.119792710524052,11.145920118154027,11.175819480192981,True
138,hartree,-399.089102600763,-1047808.294408048,11.114067380665801,11.116067294077947,11.129812784027308,True
139,hartree,-399.089109782447,-1047808.3132635568,11.095211871899664,11.101632172102109,11.10700535448268,True
140,hartree,-399.089110194543,-1047808.3143455148,11.094129913952202,11.094422035501339,11.095996482214625,True
141,hartree,-399.089113687566,-1047808.3235164452,11.084958983468823,11.087623056862503,11.737338661099784,True
142,hartree,-399.08911415108,-1047808.3247334012,11.083742027520202,11.990418275026604,11.957112932727407,True
143,hartree,-399.089115548734,-1047808.3284029412,11.080072487471625,12.302089748647996,12.155793224627685,True
144,hartree,-399.087390499753,-1047803.799287466,15.60918796272017,12.582292734994553,12.343391279191044,True
145,hartree,-399.088516647568,-1047806.7559881466,12.652487282059155,12.847007588669658,12.526961959815319,True
146,hartree,-399.08858006916,-1047806.9225015135,12.485973915201612,13.10498384074308,12.709721581977126,True
147,hartree,-399.088610028265,-1047807.0011591328,12.407316295895725,12.455758124729618,12.891424329901513,True
148,hartree,-399.088624258908,-1047807.0385216809,12.369953747838736,12.395659012906254,12.424688318195487,True
149,hartree,-399.088626884833,-1047807.045416046,12.363059382652864,12.366871406021527,12.379282201307692,True
150,hartree,-399.088631100282,-1047807.0564837058,12.35199172294233,12.352337039611303,12.357437842525542,True
151,hartree,-399.088634892262,-1047807.0664395479,12.342035880777985,12.344958970788866,12.347652491331766,True
152,hartree,-399.088637707504,-1047807.0738309649,12.334644463844597,12.340110861766153,12.86172660057699,True
153,hartree,-399.088638309698,-1047807.075412025,12.333063403726555,13.063407019688748,12.962044486160655,True
154,hartree,-399.088636117569,-1047807.0696565912,12.338818837539293,13.208056759880856,13.039873795600474,True
155,hartree,-399.087253655495,-1047803.4400029161,15.968472512555309,13.320487244916148,13.111319035025579,True
156,hartree,-399.08835942138,-1047806.343190847,13.065284581738524,13.422305075521582,13.179117184282015,True
157,hartree,-399.088423594953,-1047806.5116785397,12.896796889021061,13.51638760974165,13.246364769276365,True
158,hartree,-399.08844440788,-1047806.566322872,12.842152556753717,12.88345240696799,13.310855594297339,True
159,hartree,-399.088456946845,-1047806.5992439201,12.809231508639641,12.828446413157508,12.855915279593319,True
160,hartree,-399.088459016931,-1047806.60467893,12.803796498687007,12.80586509727873,13.20044775757872,True
161,hartree,-399.088464174763,-1047806.618220816,12.790254612686113,13.332836971455254,13.14615849072912,True
162,hartree,-399.088466598798,-1047806.6245851191,12.783890309627168,13.274345073942095,13.075383799400047,True
163,hartree,-399.087440842946,-1047803.9314635011,15.47701192763634,13.182931717694737,13.00303629127198,True
164,hartree,-399.088568338781,-1047806.8917034076,12.516772021073848,13.085440585506149,12.926899735932238,True
165,hartree,-399.088633104474,-1047807.0617457113,12.346729717450216,12.982830645842478,12.847917804743961,True
166,hartree,-399.088649836819,-1047807.105676477,12.30279895174317,12.334904479188845,12.76941317888642,True
167,hartree,-399.088662009108,-1047807.1376348174,12.270840611308813,12.27842166069895,12.305350669959028,True
168,hartree,-399.088674753165,-1047807.1710943343,12.237381094368175,12.254790590237826,12.501454987762761,True
169,hartree,-399.088675904628,-1047807.1741175001,12.234357928624377,12.572131249029189,12.295617695648357,True
170,hartree,-399.088678107471,-1047807.1799010636,12.228574365144596,12.299136861297303,12.071760607434303,True
171,hartree,-399.088045493451,-1047805.518973183,13.889502245699987,11.998820509272628,11.847234758332238,True
172,hartree,-399.089181899463,-1047808.502606756,10.905868672649376,11.691780857066624,11.62324324265189,True
173,hartree,-399.089246675453,-1047808.6726760945,10.735799334244803,11.37995408095885,11.39544266636949,True
174,hartree,-399.089260630765,-1047808.7093157611,10.699159667594358,10.73000441074837,11.168006274616346,True
175,hartree,-399.089271950204,-1047808.7390349441,10.66944048460573,10.676134600793011,10.703109845851682,True
176,hartree,-399.089283257229,-1047808.768721534,10.639753894647583,10.656020182813517,10.523669621873912,True
177,hartree,-399.089284489098,-1047808.7719558058,10.636519622872584,10.446145670255646,10.212453311641834,True
178,hartree,-399.089284981339,-1047808.7732481844,10.635227244347334,10.02371460585855,9.95492035172148,True
179,hartree,-399.089660315666,-1047809.7586883239,9.649787104805,9.67504961655941,10.019664827351724,True
180,hartree,-399.09007642768,-1047810.8511902661,8.557285162620246,9.772276054788382,9.675206650996447,True
181,hartree,-399.089947254634,-1047810.5120464806,8.896428948151879,9.290939937951043,9.327174440508575,True
182,hartree,-399.089099331125,-1047808.2858236147,11.122651814017445,9.00104134688154,8.975775999299783,True
183,hartree,-399.090201637563,-1047811.1799287685,8.228546660160646,8.924671945534646,8.581711136935544,True
184,hartree,-399.090212398376,-1047811.2081812792,8.200294149457477,8.523652769555337,8.190594753433418,True
185,hartree,-399.090221865524,-1047811.2330372728,8.175438155885786,7.463016502372921,7.7821552250367985,True
186,hartree,-399.090710955322,-1047812.5171423604,6.891333068255335,7.0247776202159,7.339784428726749,True
187,hartree,-399.091119206222,-1047813.5890049506,5.819470478105359,6.989930038293823,6.945022680380914,True
188,hartree,-399.091036219438,-1047813.3711231793,6.0373522493755445,6.447885291464627,6.551053654003356,True
189,hartree,-399.090278762091,-1047811.3824191889,8.026056239847094,6.158120870776474,6.156854598982526,True
190,hartree,-399.091254135228,-1047813.943261007,5.465214421739802,6.077435729303398,5.878794867013182,True
191,hartree,-399.091262782518,-1047813.9659644639,5.4425109648145735,5.8589482683222744,5.588739643904513,True
192,hartree,-399.091272862959,-1047813.992430658,5.416044770739973,5.0115538036217915,5.277518410119228,True
193,hartree,-399.091452306833,-1047814.4635604842,4.944914944469929,4.69027164184954,5.035446777124889,True
194,hartree,-399.091892539622,-1047815.6193915124,3.78908391634468,4.8680804106639695,4.750528081503164,True
195,hartree,-399.091865984792,-1047815.5496718158,3.858803612878546,4.479028166993521,4.464811274532361,True
196,hartree,-399.090924163601,-1047813.0769206198,6.331554808886722,4.178543841303326,4.182228599974353,True
197,hartree,-399.092013773828,-1047815.9376918763,3.4707835523877293,4.108320267801173,4.289511036277482,True
198,hartree,-399.09202454901,-1047815.9659821127,3.442493316018954,4.47573794494383,4.393866616983099,True
199,hartree,-399.092026273355,-1047815.9705093799,3.437966048833914,4.113341579423286,4.627770685906788,True
200,hartree,-399.091166274779,-1047813.7125834301,5.695891998591833,4.5184112880146134,4.37883725975241,True
201,hartree,-399.091614311031,-1047814.8889024474,4.519572981284,4.747716789972037,4.4999834841084,True
202,hartree,-399.091242359308,-1047813.9123433334,5.496132095344365,4.923885004781186,4.604400914827628,True
203,hartree,-399.091587859744,-1047814.8194546029,4.589020825806074,4.619389671273529,4.715790769800411,True
204,hartree,-399.091690778708,-1047815.0896683058,4.318807122879662,4.559014081745408,5.699767398232195,True
205,hartree,-399.091746155517,-1047815.2350600976,4.173415331053548,5.9765333421994,6.677357977372594,True
206,hartree,-399.091729290269,-1047815.1907803951,4.217695033643395,7.331270584091544,7.482959793448182,True
207,hartree,-399.088542836444,-1047806.8247470311,12.583728397614323,8.694578121090307,8.5511689982377,True
208,hartree,-399.08900789892,-1047808.0457683934,11.362707035266794,10.273192106746137,9.519080284783351,True
209,hartree,-399.089094496619,-1047808.2731306208,11.13534480787348,11.648490325757303,10.508149484937478,True
210,hartree,-399.088739843951,-1047807.3419901694,12.066485259332694,11.351124592660927,11.490893013293057,True
211,hartree,-399.089110173132,-1047808.3142893,11.09418612869922,11.297963132034056,11.278488918224216,True
212,hartree,-399.089109139575,-1047808.3115756966,11.096899732132442,11.290274116885849,11.24051644634788,True
